PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,1,Passenger 1,female,29,0,0,71.28,C
2,0,3,Passenger 2,male,22,1,0,7.25,S
3,1,1,Passenger 3,female,38,1,0,71.28,C
4,1,2,Passenger 4,female,26,1,1,30.00,S
5,0,3,Passenger 5,male,35,0,0,8.05,S
6,0,3,Passenger 6,male,28,0,0,8.46,Q
7,1,1,Passenger 7,female,40,0,1,80.00,S
8,0,3,Passenger 8,male,19,3,1,21.07,S
9,1,2,Passenger 9,female,31,0,0,13.00,S
10,0,3,Passenger 10,male,42,1,0,15.50,S
11,1,1,Passenger 11,female,35,1,0,53.10,C
12,0,2,Passenger 12,male,30,0,0,26.00,S
13,1,3,Passenger 13,female,18,0,0,7.75,Q
14,0,3,Passenger 14,male,25,0,0,7.90,S
15,1,2,Passenger 15,female,45,1,1,30.00,C
16,0,1,Passenger 16,male,50,0,0,55.00,S
17,1,3,Passenger 17,female,16,1,1,12.00,S
18,0,2,Passenger 18,male,34,0,0,21.00,S
19,1,1,Passenger 19,female,52,0,0,76.00,C
20,0,3,Passenger 20,male,20,0,0,8.05,S
21,1,2,Passenger 21,female,24,1,0,26.00,S
22,0,3,Passenger 22,male,45,1,0,15.50,S
23,1,1,Passenger 23,female,33,0,1,80.00,C
24,0,3,Passenger 24,male,27,0,0,7.90,S
25,1,2,Passenger 25,female,30,0,0,13.00,S
26,0,3,Passenger 26,male,36,2,0,18.00,S
27,1,1,Passenger 27,female,41,0,0,75.00,C
28,0,2,Passenger 28,male,39,0,0,26.00,S
29,1,3,Passenger 29,female,12,1,1,15.00,Q
30,0,3,Passenger 30,male,31,0,0,8.05,S
31,1,1,Passenger 31,female,28,1,0,60.00,C
32,0,3,Passenger 32,male,48,0,0,7.25,S
